PROOF_SIZE,NUM_TERMS,CONTEXT_SIZE,NUM_LIFTS,NUM_INDS,NUM_RULES,NUM_NNRS,NUM_NRS,NUM_AXIOMS,constraints
10,1,1,1,1,1,1,1,1,16267
100,1,1,1,1,1,1,1,1,160807
1000,1,1,1,1,1,1,1,1,1606207
1,10,1,1,1,1,1,1,1,2623
1,100,1,1,1,1,1,1,1,10723
1,1000,1,1,1,1,1,1,1,91723
1,1,10,1,1,1,1,1,1,2937
1,1,100,1,1,1,1,1,1,16612
1,1,1000,1,1,1,1,1,1,197667
1,1,1,10,1,1,1,1,1,4189
1,1,1,100,1,1,1,1,1,27949
1,1,1,1000,1,1,1,1,1,265549
1,1,1,1,10,1,1,1,1,2623
1,1,1,1,100,1,1,1,1,10723
1,1,1,1,1000,1,1,1,1,91723
1,1,1,1,1,10,1,1,1,2801
1,1,1,1,1,100,1,1,1,16341
1,1,1,1,1,1000,1,1,1,196451
1,1,1,1,1,1,10,1,1,2801
1,1,1,1,1,1,100,1,1,16341
1,1,1,1,1,1,1000,1,1,196451
1,1,1,1,1,1,1,10,1,2801
1,1,1,1,1,1,1,100,1,16341
1,1,1,1,1,1,1,1000,1,196451
1,1,1,1,1,1,1,1,10,1903
1,1,1,1,1,1,1,1,100,2803
1,1,1,1,1,1,1,1,1000,11803
